<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.02.14	04:00:00	1.21403	1.21460	1.21337	1.21426	2606	0	6
2023.02.14	05:00:00	1.21426	1.21472	1.21357	1.21456	1649	0	6
2023.02.14	06:00:00	1.21457	1.21501	1.21429	1.21490	1601	0	6
2023.02.14	07:00:00	1.21489	1.21510	1.21421	1.21458	2167	0	6
2023.02.14	08:00:00	1.21458	1.21480	1.21339	1.21448	2822	0	6
2023.02.14	09:00:00	1.21461	1.21705	1.21385	1.21388	5484	0	6
2023.02.14	10:00:00	1.21388	1.21769	1.21364	1.21748	5095	0	6
2023.02.14	11:00:00	1.21748	1.21879	1.21668	1.21877	4572	0	6
2023.02.14	12:00:00	1.21878	1.22035	1.21853	1.21887	4052	0	6
2023.02.14	13:00:00	1.21885	1.22156	1.21876	1.22014	5068	0	6
2023.02.14	14:00:00	1.22014	1.22143	1.21976	1.22104	4718	0	6
2023.02.14	15:00:00	1.22103	1.22693	1.21478	1.22095	16088	0	6
2023.02.14	16:00:00	1.22098	1.22208	1.21169	1.21850	19527	0	6
2023.02.14	17:00:00	1.21852	1.22204	1.21419	1.21555	13089	0	6
2023.02.14	18:00:00	1.21554	1.21759	1.21439	1.21553	12001	0	6
2023.02.14	19:00:00	1.21554	1.21728	1.21537	1.21709	6361	0	6
2023.02.14	20:00:00	1.21707	1.21899	1.21694	1.21698	5963	0	6
2023.02.14	21:00:00	1.21699	1.21754	1.21540	1.21742	5435	0	6
2023.02.14	22:00:00	1.21743	1.21799	1.21640	1.21765	4788	0	6
2023.02.14	23:00:00	1.21760	1.21767	1.21724	1.21744	1372	0	7
2023.02.15	00:00:00	1.21703	1.21745	1.21647	1.21731	1145	0	14
2023.02.15	01:00:00	1.21727	1.21784	1.21692	1.21732	1527	0	6
2023.02.15	02:00:00	1.21733	1.21802	1.21693	1.21790	2066	0	6
2023.02.15	03:00:00	1.21790	1.21812	1.21647	1.21659	2761	0	6
2023.02.15	04:00:00	1.21658	1.21669	1.21480	1.21501	3708	0	6
2023.02.15	05:00:00	1.21500	1.21582	1.21452	1.21469	3061	0	6
2023.02.15	06:00:00	1.21468	1.21579	1.21440	1.21550	1906	0	6
2023.02.15	07:00:00	1.21552	1.21602	1.21463	1.21490	1896	0	6
2023.02.15	08:00:00	1.21490	1.21556	1.21342	1.21384	2418	0	6
2023.02.15	09:00:00	1.21388	1.21388	1.20817	1.20822	8290	0	6
2023.02.15	10:00:00	1.20821	1.21053	1.20710	1.20996	7859	0	6
2023.02.15	11:00:00	1.20995	1.21005	1.20804	1.20958	5255	0	6
2023.02.15	12:00:00	1.20956	1.21005	1.20665	1.20675	5102	0	6
2023.02.15	13:00:00	1.20675	1.20830	1.20560	1.20565	3825	0	6
2023.02.15	14:00:00	1.20561	1.20688	1.20357	1.20432	4773	0	6
2023.02.15	15:00:00	1.20432	1.20506	1.20061	1.20136	12087	0	6
2023.02.15	16:00:00	1.20137	1.20256	1.19893	1.19911	10930	0	6
2023.02.15	17:00:00	1.19912	1.20138	1.19896	1.20021	9470	0	6
2023.02.15	18:00:00	1.20019	1.20339	1.20000	1.20286	6442	0	6
2023.02.15	19:00:00	1.20288	1.20311	1.20009	1.20046	4900	0	6
2023.02.15	20:00:00	1.20048	1.20153	1.19951	1.20150	3697	0	6
2023.02.15	21:00:00	1.20149	1.20255	1.20144	1.20208	3085	0	6
2023.02.15	22:00:00	1.20210	1.20331	1.20182	1.20330	3525	0	6
2023.02.15	23:00:00	1.20329	1.20380	1.20297	1.20333	1895	0	6
2023.02.16	00:00:00	1.20249	1.20353	1.20230	1.20299	585	0	7
2023.02.16	01:00:00	1.20299	1.20379	1.20299	1.20362	2377	0	8
2023.02.16	02:00:00	1.20363	1.20437	1.20138	1.20183	4077	0	6
2023.02.16	03:00:00	1.20181	1.20439	1.20146	1.20393	4672	0	6
2023.02.16	04:00:00	1.20393	1.20526	1.20371	1.20513	2924	0	6
2023.02.16	05:00:00	1.20514	1.20524	1.20452	1.20470	2263	0	6
2023.02.16	06:00:00	1.20471	1.20513	1.20446	1.20475	1437	0	7
2023.02.16	07:00:00	1.20475	1.20518	1.20401	1.20453	2579	0	6
2023.02.16	08:00:00	1.20453	1.20477	1.20278	1.20349	3992	0	6
2023.02.16	09:00:00	1.20350	1.20495	1.20287	1.20463	4503	0	6
2023.02.16	10:00:00	1.20462	1.20739	1.20421	1.20498	6468	0	6
2023.02.16	11:00:00	1.20495	1.20664	1.20385	1.20546	4640	0	6
2023.02.16	12:00:00	1.20544	1.20686	1.20521	1.20544	3590	0	6
2023.02.16	13:00:00	1.20545	1.20594	1.20475	1.20539	2960	0	6
2023.02.16	14:00:00	1.20538	1.20562	1.20342	1.20363	3234	0	6
2023.02.16	15:00:00	1.20363	1.20489	1.19787	1.19874	11628	0	6
2023.02.16	16:00:00	1.19874	1.20100	1.19737	1.19811	10135	0	6
2023.02.16	17:00:00	1.19809	1.20193	1.19651	1.20121	8983	0	6
2023.02.16	18:00:00	1.20125	1.20266	1.19980	1.20169	6266	0	6
