<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.06.11	16:00:00	1.13565	1.13783	1.13503	1.13775	6232	0	6
2020.06.11	17:00:00	1.13777	1.14033	1.13716	1.13811	7367	0	6
2020.06.11	18:00:00	1.13809	1.13979	1.13621	1.13784	6796	0	6
2020.06.11	19:00:00	1.13783	1.13833	1.13612	1.13614	5352	0	6
2020.06.11	20:00:00	1.13613	1.13613	1.13074	1.13178	5909	0	6
2020.06.11	21:00:00	1.13176	1.13254	1.12974	1.13006	5348	0	6
2020.06.11	22:00:00	1.13006	1.13140	1.12919	1.12990	5671	0	6
2020.06.11	23:00:00	1.12993	1.13026	1.12885	1.12962	1564	0	6
2020.06.12	00:00:00	1.12949	1.13016	1.12909	1.12933	577	0	6
2020.06.12	01:00:00	1.12931	1.12984	1.12868	1.12983	1549	0	6
2020.06.12	02:00:00	1.12984	1.12997	1.12874	1.12879	1783	0	6
2020.06.12	03:00:00	1.12880	1.12937	1.12804	1.12827	2621	0	6
2020.06.12	04:00:00	1.12825	1.12889	1.12764	1.12879	3153	0	6
2020.06.12	05:00:00	1.12878	1.12972	1.12851	1.12886	2738	0	6
2020.06.12	06:00:00	1.12885	1.12974	1.12871	1.12934	2136	0	6
2020.06.12	07:00:00	1.12935	1.12975	1.12909	1.12966	1956	0	6
2020.06.12	08:00:00	1.12967	1.13134	1.12929	1.13110	2133	0	6
2020.06.12	09:00:00	1.13109	1.13157	1.12967	1.13040	4091	0	6
2020.06.12	10:00:00	1.13040	1.13215	1.12970	1.13213	6162	0	6
2020.06.12	11:00:00	1.13213	1.13403	1.13198	1.13246	3831	0	6
2020.06.12	12:00:00	1.13247	1.13264	1.13097	1.13215	3709	0	6
2020.06.12	13:00:00	1.13217	1.13273	1.12953	1.13023	4622	0	6
2020.06.12	14:00:00	1.13023	1.13180	1.12923	1.13092	3898	0	6
2020.06.12	15:00:00	1.13091	1.13155	1.12939	1.13050	4030	0	6
2020.06.12	16:00:00	1.13050	1.13228	1.12911	1.13014	5461	0	6
2020.06.12	17:00:00	1.13014	1.13050	1.12386	1.12462	6916	0	6
2020.06.12	18:00:00	1.12462	1.12582	1.12331	1.12515	8685	0	6
2020.06.12	19:00:00	1.12516	1.12563	1.12347	1.12359	5028	0	6
2020.06.12	20:00:00	1.12362	1.12444	1.12123	1.12238	4941	0	6
2020.06.12	21:00:00	1.12237	1.12335	1.12208	1.12307	4182	0	6
2020.06.12	22:00:00	1.12307	1.12529	1.12307	1.12525	3499	0	6
2020.06.12	23:00:00	1.12524	1.12615	1.12521	1.12568	1335	0	6
2020.06.15	00:00:00	1.12354	1.12472	1.12342	1.12416	488	0	6
2020.06.15	01:00:00	1.12414	1.12515	1.12262	1.12467	2393	0	6
2020.06.15	02:00:00	1.12468	1.12581	1.12424	1.12514	2233	0	6
2020.06.15	03:00:00	1.12515	1.12608	1.12450	1.12458	3156	0	6
2020.06.15	04:00:00	1.12457	1.12599	1.12434	1.12589	2470	0	6
2020.06.15	05:00:00	1.12588	1.12603	1.12511	1.12525	2240	0	6
2020.06.15	06:00:00	1.12526	1.12641	1.12523	1.12632	1136	0	6
2020.06.15	07:00:00	1.12632	1.12680	1.12590	1.12603	1480	0	6
